Category,Message
ham,hmmmy uncle just informed me that hes paying the school directly so pls buy food
ham,tell her i said eat shit
ham,u buy newspapers already
ham,how dare you change my ring
ham,oh my love its soooo good to hear from you omg i missed you so much today im sorry your having problems with the provider but thank you for tming me
ham,the new deus ex game comin early next yr
ham, and  picking them up from various points
ham,thanx  puttin da fone down on me
ham,im going  lunch now wif my family then aft dat i go str  orchard lor
ham,i just lov this line \hurt me with the truth
ham,morning only i can ok
ham,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay
ham,honey can you pls find out how much they sell predicte in nigeria and how many times can it be used its very important to have a reply before monday
ham,sorry i cant take your call right now it so happens that there r waxsto do wat you want she can come and ill get her medical insurance and shell be able to deliver and have basic care im currently shopping for the right medical insurance for her so just give me til friday morning thats when ill see the major person that can guide me to the right insurance
ham,sorry  i will be able to get to you see you in the morning
ham,whats up do you want me to come online
ham,hellohow u doingwhat u been up when will u b moving out of the flat cos i will need to arrange to pick up the lamp etc take care hello caroline
ham,you arent coming home between class right i need to work out and shower
ham, bot notes oredi cos i juz rem i got
ham,oic i saw him too but i tot he din c me i found a group liao
ham,today is accept dayu accept me as brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
ham,christmas is an occasion that is celebrated as a reflection of ur values desires affectionsamp traditions have an ideal christmas
ham,okok okthenwhats ur todays plan
ham,how are you holding up
ham,then u better go sleep dun disturb u liao u wake up then msg me lor
ham,hmm ok ill stay for like an hour cos my eye is really sore
spam,freemsg todays the day if you are ready im horny  live in your town i love sex fun  games netcollex ltd p per msg reply stop to end
ham,if we win its really no  side for long time
ham,please dont text me anymore i have nothing else to say
ham,this message is from a great doctor in india  do not drink appy fizz it contains cancer causing age
ham,awesome be there in a minute
ham,or just do that times
ham,sorry ill call later
ham,haha yeah  oz is kind of a shitload
ham,i take it the post has come then you must have s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him
ham,we got a divorce lol shes here
ham,honeybee said im d sweetest in d world god laughed amp said waitu havnt met d person reading this msg moral even god can crack jokes gmgngegn
ham,cool i am  ltgt  inches long hope you like them big
ham,dude got a haircut now its breezy up there
spam,lookatme thanks for your purchase of a video clip from lookatme youve been charged p think you can do better why not send a video in a mmsto 
ham,no but the bluray player can
ham,where are you call me
ham,future is not what we planned for tomorrow it is the result of what we do today do the best in present enjoy the future
ham,haha okay today weekend leh 
spam,we tried to contact you re our offer of new video phone  anytime any network mins half price rental camcorder call  or reply for delivery wed
ham,i hope your alright babe i worry that you might have felt a bit desparate when you learned the job was a fake  i am here waiting when you come back my love
spam,please call our customer service representative on freephone    between ampm as you have won a guaranteed  cash or  prize
ham,home so we can always chat
ham,did he just say somebody is named tampa
ham,this is ur face test            ltgt   select any number i will tell ur face astrology am waiting quick reply
ham,dear friends sorry for the late information today is the birthday of our loving arpraveesh for more details log on to face book and see its his number  ltgt  dont miss a delicious treat
ham,oops i thk i dun haf enuff i go check then tell _
ham, say until like dat i dun buy ericsson oso cannot oredi lar
ham,hi darlin i hope you had a nice night i wish i had come cant wait to see you love fran ps i want dirty anal sex and i want a  man gang bang
spam,last chance claim ur  worth of discount vouchers today text shop to  now savamob offers mobile t cs savamob pobox muz  sub 
ham,your pussy is perfect
ham,cab is availablethey pick up and drop at door steps
ham,jus finish bathing
ham,hey no i ad a crap nite was borin without ya  boggy with me u boring biatch thanx but u wait til nxt time il ave ya 
ham,can u get pic msgs to your phone
ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking faceasssssholeeee
ham,thk some of em find wtc too far weiyi not goin e rest i dunno yet r ur goin  dinner den i might b able to join
ham,i will come tomorrow di
ham,haha i think i did too
ham,nope im not drivin i neva develop da photos lei
ham,then get some cash together and ill text jason
ham,well i was about to give up cos they all said no they didnt do one nighters i persevered and found one but it is very cheap so i apologise in advance it is just somewhere to sleep isnt it
ham,i really need  kiss u i miss u my baby from ur baby eva
ham,update your face book status frequently 
ham,well theres a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that im a weed fiendmake them smoke too muchimpede their doing other things so you see how im hesitant
ham,kkwhen are you going
ham,why you keeping me away like this
ham,is toshiba portege m gd
ham,have you heard about that job im going to that wildlife talk again tonight if u wantcome its thatworzels and a wizzle or whatever it is 
ham,tessypls do me a favor pls convey my birthday wishes to nimyapls dnt forget it today is her birthday shijas
ham,there is a first time for everything 
ham,oops  am at my mums in somerset bit far back tomo see you soon x
ham,dont look back at the building because you have no coat and i dont want you to get more sick just hurry home and wear a coat to the gym
ham,we got a divorce lol shes here
ham,haha but no money leh later got to go for tuition haha and looking for empty slots for driving lessons
ham,i think steyn surely get one wicket
ham,"an amazing quote  \sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear\"""""
ham,hi hope u get this txtjourney hasnt been gdnow about  mins late i think
ham,sorry sent blank msg again yup but trying  do some serious studying now
ham,mmmm i cant wait to lick it
spam,dorothykiefercom bank of granite issues strongbuy explosive pick for our members up over   nasdaq symbol cdgt that is a  per
ham,shall i come to get pickle
ham,boooo you always work just quit
ham,sorry light turned green i meant another friend wanted  ltgt  worth but he may not be around
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or  to claim txt dis to  morefrmmob shracomorsglsuplt ls aj
ham,hmm shall i bring a bottle of wine to keep us amused just joking ill still bring a bottle red or white see you tomorrow
spam,you have an important customer service announcement from premier call freephone    now
ham,thanks it was only from tescos but quite nice all gone now speak soon 
ham,"happy or sad  one thing about past is \its no more\"" good morning """
ham,theoretically yeah he could be able to come
ham,i absolutely love south park i only recently started watching the office
ham,i am literally in bed and have been up for like  ltgt  hours
ham,i cant pick the phone right now pls send a message
ham,i send the print  outs da
ham,one day a crab was running on the sea shorethe waves came n cleared the footprints of the crab crab asked being my frnd y r u clearing my beautiful footprints waves replied a fox was following ur footprints to catch you thats y i cleared it off frndsship never lets u dwn  gud nyt
ham,now that you have started dont stop just pray for more good ideas and anything i see that can help you guys ill forward you a link
ham,ok ive sent u da latest version of da project
ham,are you there in room
spam,you have won a guaranteed  award or even  cashto claim ur award call free on    stop getstop on  php
ham,sorry left phone upstairs ok might be hectic but would be all my birds with one fell swoop its a date
ham,yeah imma come over cause jay wants to do some drugs
ham,much better now thanks lol
spam,todays voda numbers ending with  are selected to receive a  reward if you have a match please call  quoting claim code  standard rates apply
ham,ill b down soon
ham,here got lots of hair dresser fr china
ham,evening  v good if somewhat event laden will fill you in dont you worry _ head  ok but throat  wrecked see you at six then
ham,true lov n care wil nevr go unrecognized though somone often makes mistakes when valuing it but they will definitly undrstnd once when they start missing it
ham,my mobile numberpls sms ur mail idconvey regards to achanammarakheshqatar
ham,thanks fills me with complete calm and reassurance 
ham, ltgt  mins but i had to stop somewhere first
ham,wylie update my weed dealer carlos went to freedom and had a class with lunsford
spam,free video camera phones with half price line rental for  mths and  cross ntwk mins  txts call mobileupd  or calloptout
spam,  do you want a new nokia i colour phone deliveredtomorrow with  free minutes to any mobile   free texts  free camcorder reply or call 
ham,cos i was out shopping wif darren jus now n i called him  ask wat present he wan lor then he started guessing who i was wif n he finally guessed darren lor
ham,in which place i can get rooms cheap
ham,wn u r hurt by d prsn who s close  u do fight wit dem coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation gud eveb
ham,wherres my boytoy  
ham,rose for redred for bloodblood for heartheart for u but u for me send tis to all ur friends including me if u like me if u get back u r poor in relation u need some  to support u r frnd  many some luvs u  some is praying god to marry u try it
ham,yes rent is very expensive so its the way we save
ham,y lei
spam,dear voucher holder  claim your st class airport lounge passes when using your holiday voucher call  when booking quote st class x 
ham,nobody names their penis a girls name this story doesnt add up at all
ham,pick ur fone up now u dumb
ham, say until like dat i dun buy ericsson oso cannot oredi lar
spam,freemsg our records indicate you may be entitled to  pounds for the accident you had to claim for free reply with yes to this msg to opt out text stop
ham,hi finally i completed the course
ham,er yeah i will b there at  sorry just tell me which pubcafe to sit in and come wen u can
ham,yes we were outside for like  hours and i called my whole family to wake them up cause it started at  am
ham,for fear of fainting with the of all that housework you just did quick have a cuppa
spam,congratulations ur awarded  of cd vouchers or gift guaranteed  free entry   wkly draw txt music to  tncs wwwldewcomwinppmxage
ham,ill be in sch fr  i dun haf da book in sch its at home
ham,ok can
ham,i wish things were different i wonder when i will be able to show you how much i value you pls continue the brisk walks no drugs without askin me please and find things to laugh about i love you dearly
ham,thanks for ve lovely wisheds you rock
ham,u goin out nite
ham,so why didnt you holla
ham,yup im still having coffee wif my frens my fren drove shell give me a lift
spam,bangbabes ur order is on the way u should receive a service msg  download ur content if u do not goto wap bangb tv on ur mobile internetservice menu
spam,dear voucher holder to claim this weeks offer at you pc please go to httpwwwetlpcoukexpressoffer tscs apply to stop texts txt stop to 
ham,wish u many many returns of the day happy birthday vikky
spam,todays vodafone numbers ending with  are selected to a receive a  award if your number matches call  to receive your  award
ham,okay we wait ah
ham,oh u must have taken your real valentine out shopping first
spam,will u meet ur dream partner soon is ur career off  a flyng start  find out free txt horo followed by ur star sign e g horo aries
ham,guessin you aint gonna be here before 
ham,was gr to see that message so when r u leaving congrats dear what school and wat r ur plans
ham,nojst change tat only
ham,well then you have a great weekend
ham,ya it came a while ago
ham,babe you said  hours and its been almost   is your internet down 
ham,oh sorry please its over
spam,bangbabes ur order is on the way u should receive a service msg  download ur content if u do not goto wap bangb tv on ur mobile internetservice menu
ham,nope watching tv at home not going out v bored
ham,cool i am  ltgt  inches long hope you like them big
ham,kent vale lor  wait  me there ar
spam,hi babe its jordan how r u im home from abroad and lonely text me back if u wanna chat xxsp visionsmscom text stop to stopcost p 
spam,latest news police station toilet stolen cops have nothing to go on
ham,dont think you need yellow card for uk travel ask someone that has gone before if you do its just  ltgt bucks
spam,datingi have had two of these only started after i sent a text to talk sport radio last week any connection do you think or coincidence
ham,yeah we wouldnt leave for an hour at least hows  sound
ham,yeshere tv is always available in work place
ham,i will come with karnan car please wait till pm will directly goto doctor
ham,anyway holla at me whenever youre around because i need an excuse to go creep on people in sarasota
ham,you still at the game
ham,ill get there tomorrow and send it to you
spam,todays vodafone numbers ending with  are selected to a receive a  award if your number matches call  to receive your  award
spam,big brother alert the computer has selected u for k cash or  voucher call  ntt po box cro  bt landline cost ppm mobiles vary
ham,excellent i spent  ltgt  years in the air force iraq and afghanistan i am stable and honest do you like traveling
ham,no da i am happy that we sit together na
ham,happy new year to u too
ham,"\ey calm downon theacusations itxt u cos iwana know wotu r doin at thewend haventcn u in agesring me if ur up nething satlove j xxx\"""""
ham,whenre you guys getting back g said you were thinking about not staying for mcr
ham,finish liao u
ham,ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly love me xxx
ham,where r we meeting
ham,yes watching footie but worried were going to blow it  phil neville
ham,for real when u getting on yo i only need  more tickets and one more jacket and im done i already used all my multis
ham,the fact that youre cleaning shows you know why im upset your priority is constantly \what i want to do
ham,ssi thinl role is like sachinjust standing others have to hit
ham,but your brother transfered only  ltgt    ltgt  pa
ham,i thank you so much for all you do with selflessness i love you plenty
spam,call  to use ur mins calls cast pmin mob vary service provided by aom just gbpmonth aom boxm er until u stop ages  only
ham,aight text me tonight and well see whats up
ham,how much is torch in ja
ham,then why you came to hostel
ham,k then marrow are you coming to class
spam,want to funk up ur fone with a weekly new tone reply tonesu  this text wwwringtonescouk the original n best tones gbp network operator rates apply
ham,am in film ill call you later
ham,oh all have to come ah
spam,no  polyphonic tone  ur mob every week just txt pt to  st tone free  so get txtin now and tell ur friends ptone  reply hl info
ham,damn poor zac doesnt stand a chance
ham,still chance there if you search hard you will get itlet have a try 
spam,december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 
ham,ok then u tell me wat time u coming later lor
ham,customer place i will call you
ham,everybody had fun this evening miss you
ham,hello good week fancy a drink or something later
ham,yup im elaborating on the safety aspects and some other issues
ham,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one
ham,i will see in half an hour
ham,oh yes why is it like torture watching england
ham,didnt try g and i decided not to head out
spam,please call amanda with regard to renewing or upgrading your current tmobile handset free of charge offer ends today tel    subject to ts and cs
ham,but im surprised she still can guess right lor
ham,networking job is there
spam,for ur chance to win a  cash every wk txt action to  tscs wwwmovietriviatv custcare  xpwk
spam, p  alfie moons children in need song on ur mob tell ur ms txt tone charity to  for nokias or poly charity for polys zed  profit  charity 
ham,good morning plz call me sir
ham,company is very goodenvironment is terrific and food is really nice
spam,private your  account statement for shows  unredeemed s i m points call  identifier code  expires 
ham,no just send to you bec you in temple na
ham,ok but they said ive got wisdom teeth hidden inside n mayb need  remove
ham,whens your radio show
ham,tell my  bad character which u dnt lik in me ill try to change in  ltgt  i ll add tat  my new year resolution waiting for ur replybe frankgood morning
ham,hi msg meim in office
ham,i went to ur hon lab but no one is there
ham, still attending da talks
ham,cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you have a beautiful morning see you in the library later
ham,que pases un buen tiempo or something like that
ham,wat makes u thk ill fall down but actually i thk im quite prone  falls lucky my dad at home i ask him come n fetch me already
spam, urgent your mobile no xxxxxxxxx won a  bonus caller prize on  this is the nd attempt to reach you call  asap
ham,becoz its  ltgt  jan whn al the post ofice is in holiday so she cn go fr the post oficegot it duffer
ham,lol yes our friendship is hanging on a thread cause u wont buy stuff
spam,private your  account statement for shows  unredeemed sim points call  identifier codexx expires 
ham,wishing you a beautiful day each moment revealing even more things to keep you smiling do enjoy it
ham,sorry ill call later
spam,get your garden ready for summer with a free selection of summer bulbs and seeds worth  only with the scotsman this saturday to stop go notxtcouk
ham,spoons it is then okay
ham,you will be in the place of that man
ham,slept i thinkthis time  ltgt  pm is not dangerous
ham,im hungry buy smth home
ham,same as kallis dismissial in nd test
ham,ha ha  had popped down to the loo when you helloed me hello
ham, and  picking them up from various points
ham,heart is empty without love mind is empty without wisdom eyes r empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams
ham,you are right though i cant give you the space you want and need this is really starting to become an issue i was going to suggest setting a definite move outif im still there after greece but maybe you are ready and should do it now
ham,jordan got voted out last nite
ham,he is world famamus
ham,where is that one day training
ham,i know you are thinkin malaria but relax children cant handle malaria she would have been worse and its gastroenteritis if she takes enough to replace her loss her temp will reduce and if you give her malaria meds now she will just vomit its a self limiting illness she has which means in a few days it will completely stop
ham,just seeing your missed call my dear brother do have a gr day
ham,g wants to know where the fuck you are
ham,whenevr ur sad whenevr ur gray remembr im here  listn  watevr u wanna say jus walk wid me a little whileamp i promise ill bring back ur smile
ham, predict wat time _ll finish buying
ham,i am waiting machan call me once you free
ham,i not busy juz dun wan  go so early hee 
spam,not heard from u a while call  rude chat private line  to cum wan c pics of me gettin shagged then text pix to  end send stop  sam xxx
ham,this weekend is fine an excuse not to do too much decorating
ham,"\petey boy whereare you me and all your friendsare in thekingshead come down if you canlove nic\"""""
spam,eerie nokia tones u rply tone title to  eg tone dracula to  titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk poboxwwq p
ham,how is it possible to teach you and where
ham,yeah work is fine started last week all the same stuff as before dull but easy and guys are fun
ham,that would be great well be at the guild could meet on bristol road or somewhere  will get in touch over weekend our plans take flight have a good week
ham,where are youwhen wil you reach here
ham,not directly behind abt  rows behind _
ham,"\cheers u tex mecause u werebored yeah okden hunny r uin wk satsounds likeyour havin grfun j keep updat countinlots of loveme xxxxx\"""""
ham,doc prescribed me morphine cause the other pain meds arent enough waiting for my mom to bring it that med should kick in fast so im gonna try to be on later
ham,by march ending i should be ready but will call you for sure the problem is that my capital never complete how far with you hows work and the ladies
ham,eh u remember how  spell his name yes i did he v naughty make until i v wet
ham,what happen to her tell the truth
ham,so no messages had food
ham,ok both our days so what are you making for dinner tonite am i invited
ham,s daal r above  ltgt
ham,friendship poem dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear gud ni
spam,ur cashbalance is currently  pounds  to maximize ur cashin now send cash to  only pmsg cc  po box  tcrw
ham,yesmum lookin strong
ham,dunno leh cant remember mayb lor so wat time r we meeting tmr
ham,dun b sad its over dun thk abt it already concentrate on ur other papers k
ham,they released another italian one today and it has a cosign option
ham,i hope you know im still mad at you
ham,ok i go change also
ham,i love u  babe r u sure everything is alrite is he being an idiot txt bak girlie
ham,honey  sweetheart  darling  sexy buns  sugar plum  loverboy  i miss you boytoy  smacks your ass did you go to the gym too 
ham,hi darlin i hope you had a nice night i wish i had come cant wait to see you love fran ps i want dirty anal sex and i want a  man gang bang
ham, still got lessons   in sch
ham,ok no prob
ham,my uncles in atlanta wish you guys a great semester
ham, was really good to see you the other day dudette been missing you
ham,how much would it cost to hire a hitman
spam,do you want a new nokia i colour phone deliveredtomorrow with  free minutes to any mobile   free texts  free camcorder reply or call 
ham,he said i look pretty wif long hair wat but i thk hes cutting quite short  me leh
ham,good morning my boytoy hows those yummy lips  wheres my sexy buns now  what do you do  do you think of me  do you crave me  do you need me 
ham,come to me right now ahmad
ham,hiya how was last night ive been naughty and bought myself clothes and very little  ready for more shopping tho what kind of time do you wanna meet
ham,okay no no just shining on that was meant to be signing but that sounds better
spam,urgent important information for o user today is your lucky day  find out why log onto httpwwwurawinnercom there is a fantastic surprise awaiting for you
spam,double mins and txts  months free bluetooth on orange available on sony nokia motorola phones call mobileupd on  or calloptoutndx
ham,aiyo her lesson so early im still sleepin haha okie u go home liao den confirm w me lor
ham,babe i need your advice
ham,i love working from home 
spam,get a free mobile video player free movie to collect text go to  its free extra films can be ordered ts and cs apply  yrs only
ham,ok leave no need to ask
ham,i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished
ham,onum ela pa normal than
ham,boo what time u get out u were supposed to take me shopping today 
spam,our records indicate u maybe entitled to  pounds in compensation for the accident you had to claim  free reply with claim to this msg  stop txt stop
ham,that depends how would you like to be treated 
ham,oh k why you got job then whats up
ham,its reassuring in this crazy world
ham,cos daddy arranging time c wat time fetch _ mah
ham,either way works for me i am  ltgt  years old hope that doesnt bother you
ham,i need you to be in my strong arms
ham,speaking of does he have any cash yet
spam,great new offer  double mins  double txt on best orange tariffs and get latest camera phones  free call mobileupd free on  now or stoptxt tcs
spam,romantic paris  nights  flights from  book now  next year call tscs apply
ham,ive sent my wife your text after we buy them shell tell you what to do so just relax we should go get them this wkend
ham,how are you holding up
ham,many more happy returns of the day i wish you happy birthday
ham,sweet we may or may not go to u to meet carlos so gauge pattys interest in that
ham, only send me the contents page
ham,will _ b going to esplanade fr home
ham,not yet chikkuk then wat abt tht guy did he stopped irritating or msging to u
ham,yay finally lol i missed our cinema trip last week 
ham,come to medical college at pm forward it da
ham,so _ pay first lar then when is da stock comin
ham,isnt frnd a necesity in life imagine urself witout a frnd hwd u feel at ur colleg watll u do wth ur cell wat abt functions thnk abt events espell cared missed amp irritated u wrd it to all those dearloving frnds wthout whom u cant live i jst did it takecare goodmorning
ham,rajipls do me a favour pls convey my birthday wishes to nimya pls today is her birthday
ham,thinkin about someone is all good no drugs for that
spam,got what it takes  take part in the wrc rally in oz u can with lucozade energy text rally le to  p see packs or lucozadecoukwrc  itcould be u
ham,what is your account number
ham,the gas station is like a block away from my house youll drive right by it since armenia ends at swann and you have to take howard
ham,quite late lar ard  anyway i wun b drivin
ham,my sister cleared two round in birla soft yesterday
ham,for you information ikea is spelled with all caps that is not yelling when you thought i had left you you were sitting on the bed among the mess when i came in i said we were going after you got home from class please dont try and bullshit me it makes me want to listen to you less
ham,u still havent got urself a jacket ah
ham,sorry ill call later in meeting
ham,u will switch your fone on dammit
ham,hi darlin im missin u hope you are having a good time when are u back and what time if u can give me a call at home jess xx
ham,im ok will do my part tomorrow
ham,great i hope you like your man well endowed i am  ltgt  inches
ham,thanks it was only from tescos but quite nice all gone now speak soon 
ham,yeah in fact he just asked if we needed anything like an hour ago when and how much
ham,nokia phone is lovly
ham,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning  
ham,s now only i took tablets  reaction morning only
ham,how will i creep on you now _
ham,s daal r above  ltgt
ham,anything lar
ham,po de  no need job aha
ham,sorry man accidentally left my phone on silent last night and didnt check it til i got up
spam,you are being contacted by our dating service by someone you know to find out who it is call from a land line  poboxwtgp
ham,arms fine hows cardiff and uni 
ham,great i hope you like your man well endowed i am  ltgt  inches
spam,spjanuary male sale hot gay chat now cheaper call  national rate from pmin cheap to pmin peak to stop texts call  pmin
spam,bought one ringtone and now getting texts costing  pound offering more tones etc
ham,beautiful tomorrow never comes when it comes its already today in the hunt of beautiful tomorrow dont waste your wonderful today goodmorning
ham,if we hit it off you can move in with me 
ham,nimbomsons yep phone knows that one obviously cos thats a real word
ham,was playng  doors game and gt racing on phone lol
spam,double mins   txts on orange tariffs latest motorola sonyericsson  nokia with bluetooth free call mobileupd on  or calloptouthf
ham,i am on the way to ur home
ham,probably money worries things are coming due and i have several outstanding invoices for work i did two and three months ago
ham,my exam is for february  wish you a great day
ham,wat makes u thk ill fall down but actually i thk im quite prone  falls lucky my dad at home i ask him come n fetch me already
ham,no other valentines huh the proof is on your fb page ugh im so glad i really didnt watch your rupaul show you tool
ham,excellent wish we were together right now
ham,u goin out nite
ham,wifehow she knew the time of murder exactly
ham,yeah do dont stand to close tho youll catch something
ham,text me when you get off dont call my phones having problems
ham,sorry ill call later
spam,dear voucher holder to claim this weeks offer at your pc please go to httpwwwwtlpcouktext tscs apply
ham,send to someone else 
ham,can im free
spam,want  get laid tonight want real dogging locations sent direct  ur mob join the uks largest dogging network bt txting gravel to  nt eca pmsgp
ham,sad story of a man  last week was my bday my wife didnt wish me my parents forgot n so did my kids  i went to work even my colleagues did not wish as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there she said do u mind if i go into the bedroom for a minute   ok i sed in a sexy mood she came out  minuts latr wid a caken my wife my parents my kidz my friends n my colleagues all screaming surprise  and i was waiting on the sofa    naked
spam,hmv bonus special  pounds of genuine hmv vouchers to be won just answer  easy questions play now send hmv to  more infowwwpercentrealcom
ham,i am not sure about night menu   i know only about noon menu
ham,what happen dear why you silent i am tensed
ham,its reassuring in this crazy world
spam,latest news police station toilet stolen cops have nothing to go on
ham,lol u drunkard just doing my hair at d moment yeah still up  tonight wats the plan 
ham,sad story of a man  last week was my bday my wife didnt wish me my parents forgot n so did my kids  i went to work even my colleagues did not wish as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there she said do u mind if i go into the bedroom for a minute   ok i sed in a sexy mood she came out  minuts latr wid a caken my wife my parents my kidz my friends n my colleagues all screaming surprise  and i was waiting on the sofa    naked
ham,well done blimey exercise yeah i kinda remember wot that is hmm 
ham,yup hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
ham,lol well dont do it without me we could have a big sale together
ham,hmm ok ill stay for like an hour cos my eye is really sore
ham,why she wants to talk to me
spam,a  xmas reward is waiting for you our computer has randomly picked you from our loyal mobile customers to receive a  reward just call 
ham,dear we are going to our rubber place
spam,urgent we are trying to contact u todays draw shows that you have won a  prize guaranteed call  from land line claim j po boxcpm
ham,omg you can make a wedding chapel in frontierville why do they get all the good stuff
ham,hey i almost forgot  happy bday babe  i love ya
ham,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem
ham,so now my dad is gonna call after he gets out of work and ask all these crazy questions
ham,kallis is ready for bat in nd innings
ham,horrible u eat macs eat until u forgot abt me already rite u take so long  reply i thk its more toot than b so b prepared now wat shall i eat
ham,kkhow about your training process
ham,tonight yeah id be down for that
ham,oh ok i didnt know what you meant yep i am baby jontin
spam,hi  ibh customer loyalty offer the new nokia mobile from only  at txtauctiontxt wordstart to no  get yours nowt
ham,lets use it next week princess 
ham,indeed and by the way it was either or  not both 
spam,bored housewives chat n date now  btnational rate pmin only from landlines
ham,good evening this is roger how are you
spam,the current leading bid is  to pause this auction send out customer care 
ham,otherwise had part time job natuition
spam,urgent we are trying to contact you last weekends draw shows that you have won a  prize guaranteed call  claim code s valid hrs only
ham,yar but they say got some error
ham,i cant pick the phone right now pls send a message
ham,yo yo yo byatch whassup
ham,lets use it next week princess 
ham,good morning plz call me sir
ham,just nw i came to hme da
spam,call germany for only  pence per minute call from a fixed line via access number     no prepayment direct access
ham,did u got that persons story
spam,bought one ringtone and now getting texts costing  pound offering more tones etc
ham,so dont use hook up any how
ham,dude how do you like the buff wind
ham,"\im at arestaurant eating squid i will be out about  wanna dosomething or is that to late\"""""
ham,yar lor wait  my mum  finish sch then have lunch lor i whole morning stay at home clean my room now my room quite clean hee
ham,aathiwhere are you dear
ham,you call times job today ok umma and ask them to speed up
ham,playin space poker u
ham,yeah my usual guys out of town but therere definitely people around i know
ham,i hate when she does this she turns what should be a fun shopping trip into an annoying day of how everything would look in her house
ham,ranjith cal drpd deeraj and deepak min hold
ham,kkhow is your business now
ham,hi hope u r both ok he said he would text and he hasnt have u seen him let me down gently please 
ham,god blessget good sleep my deari will pray
ham,ello babe u ok
ham, neva tell me how i noe im not at home in da aft wat 
ham,i dont knw pa i just drink milk
ham,this is my number by vivek
ham,sorry got a late start were on the way
ham,thats very rude you on campus
spam,congratulations ur awarded  of cd vouchers or gift guaranteed  free entry   wkly draw txt music to 
ham,come by our room at some point so we can iron out the plan for this weekend
ham,yeah hopefully if tyler cant do it i could maybe ask around a bit
ham,no plans yet what are you doing 
spam,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to   sptyrone
ham,nope i waiting in sch  daddy 
ham,sorry sir i will call you tomorrow  senthilhsbc
spam,do you ever notice that when youre driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac
ham,hi hope you had a good day have a better night
ham,yeah go on then bored and depressed sittin waitin for phone to ring hope the wind drops though scary
ham,okie _ wan meet at bishan cos me at bishan now im not driving today
spam,winner as a valued network customer you have been selected to receivea  prize reward to claim call  claim code kl valid  hours only
ham,missing you toopray inshah allah
ham,weightloss no more girl friends make loads of money on ebay or something and give thanks to god
ham,zoe it just hit me  im fucking shitin myself il defo try my hardest  cum morow luv u millions lekdog
ham,oh ho is this the first time u use these type of words
ham,all e best  ur exam later
ham,i jokin oni lar  busy then i wun disturb _
ham,"and that is the problem you walk around in \julianaland\"" oblivious to what is going on around you i say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do its not that you dont know why im upsetits that you dont listen when i tell you what is going to upset me then you want to be surprised when im mad"""
ham,i want to show you the world princess  how about europe
ham,hi di is yijue were meeting at  pm at esaplanade tonight
ham,at what time should i come tomorrow
ham,if india win or level series means this is record
ham,i send the print  outs da
ham,mon okie lor haha best is cheap n gd food la ex oso okie depends on whether wana eat western or chinese food den which u prefer 
ham,\hey sorry i didntgive ya a a bellearlier hunny
ham,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
ham,idk im sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like im a failure in everything nobody wants me and now i feel like im failing you
ham,lol ok ill try to send be warned sprint is dead slow youll prolly get it tomorrow
ham,time n smile r the two crucial things in our life sometimes time makes us to forget smile and sometimes someones smile makes us to forget time gud noon
ham,so wats ur opinion abt him and how abt is character
ham,ma head dey swell oh thanks for making my day
ham,hello peach my cake tasts lush
ham,free any day but i finish at  on mon n thurs
spam,congrats  year special cinema pass for  is yours call  now c suprman v matrix starwars etc all  free bxipwe pm dont miss out
ham,ill give her once i have it plus she said grinule greet you whenever we speak
ham,but im surprised she still can guess right lor
ham,well at this right im gonna have to get up and check todays steam salespee so text me when you want me to come get you
ham,i want kfc its tuesday only buy  meals only  no gravy only  mark 
ham,im in solihull  do you want anything
